LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-06-01,102.0796,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-07-01,101.9623,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-08-01,101.857,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-09-01,101.7826,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-10-01,101.7476,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-11-01,101.7026,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1974-12-01,101.5748,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-01-01,101.3134,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-02-01,101.0169,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-03-01,100.8279,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-04-01,100.8622,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-05-01,101.0305,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-06-01,101.2184,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-07-01,101.3323,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-08-01,101.3256,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-09-01,101.1157,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-10-01,100.6207,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-11-01,100.0003,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1975-12-01,99.4473,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-01-01,99.10373,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-02-01,98.91051,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-03-01,98.7979,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-04-01,98.72584,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-05-01,98.64343,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-06-01,98.49993,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-07-01,98.26592,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-08-01,98.0156,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-09-01,97.85485,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-10-01,97.86559,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-11-01,97.96054,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1976-12-01,98.02553,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-01-01,97.97744,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-02-01,97.85228,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-03-01,97.70023,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-04-01,97.55785,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-05-01,97.44716,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-06-01,97.39562,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-07-01,97.42442,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-08-01,97.47766,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-09-01,97.48531,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-10-01,97.40178,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-11-01,97.29005,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1977-12-01,97.25221,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-01-01,97.38825,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-02-01,97.68088,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-03-01,98.13483,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-04-01,98.75967,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-05-01,99.39117,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-06-01,99.80077,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-07-01,99.79839,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-08-01,99.55719,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-09-01,99.27931,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-10-01,99.10061,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-11-01,99.0319,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1978-12-01,99.07648,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-01-01,99.23772,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-02-01,99.41315,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-03-01,99.47814,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-04-01,99.35513,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-05-01,99.19347,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-06-01,99.21703,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-07-01,99.61052,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-08-01,100.2206,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-09-01,100.8659,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-10-01,101.431,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-11-01,101.9248,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1979-12-01,102.3739,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-01-01,102.7884,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-02-01,103.1713,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-03-01,103.5018,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-04-01,103.7503,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-05-01,103.9457,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-06-01,104.11,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-07-01,104.2472,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-08-01,104.362,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-09-01,104.4453,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-10-01,104.4815,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-11-01,104.4879,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1980-12-01,104.4783,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-01-01,104.4568,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-02-01,104.4273,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-03-01,104.3843,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-04-01,104.312,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-05-01,104.1967,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-06-01,104.007,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-07-01,103.7175,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-08-01,103.4069,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-09-01,103.1801,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-10-01,103.1116,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-11-01,103.1055,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1981-12-01,103.0248,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-01-01,102.7587,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-02-01,102.3648,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-03-01,101.9064,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-04-01,101.4186,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-05-01,100.9377,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-06-01,100.5001,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-07-01,100.1333,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-08-01,99.80394,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-09-01,99.47904,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-10-01,99.14891,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-11-01,98.84634,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1982-12-01,98.64009,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-01-01,98.60092,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-02-01,98.67126,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-03-01,98.79621,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-04-01,98.94494,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-05-01,99.07755,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-06-01,99.14931,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-07-01,99.13112,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-08-01,99.09056,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-09-01,99.11846,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-10-01,99.27757,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-11-01,99.4829,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1983-12-01,99.61798,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-01-01,99.6049,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-02-01,99.54458,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-03-01,99.5769,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-04-01,99.78801,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-05-01,100.025,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-06-01,100.0522,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-07-01,99.68067,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-08-01,99.10908,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-09-01,98.59085,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-10-01,98.30228,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-11-01,98.15701,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1984-12-01,98.03341,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-01-01,97.85863,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-02-01,97.67104,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-03-01,97.55023,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-04-01,97.55982,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-05-01,97.6235,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-06-01,97.63784,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-07-01,97.53098,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-08-01,97.37067,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-09-01,97.25697,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-10-01,97.26842,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-11-01,97.36145,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1985-12-01,97.48148,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-01-01,97.59212,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-02-01,97.67764,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-03-01,97.72407,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-04-01,97.72546,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-05-01,97.72926,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-06-01,97.80433,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-07-01,98.00657,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-08-01,98.27319,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-09-01,98.5265,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-10-01,98.71319,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-11-01,98.85705,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1986-12-01,98.99461,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1987-01-01,99.15372,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,1987-02-01,99.33829,
