LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-01-01,101.3283,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-02-01,101.3096,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-03-01,101.1573,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-04-01,100.9018,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-05-01,100.751,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-06-01,100.7862,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-07-01,100.9738,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-08-01,101.1301,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-09-01,101.292,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-10-01,101.4213,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-11-01,101.2428,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-12-01,100.6738,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-01-01,99.86252,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-02-01,99.47815,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-03-01,99.56667,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-04-01,99.93523,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-05-01,100.2033,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-06-01,100.2722,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-07-01,100.1965,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-08-01,100.1151,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-09-01,100.0479,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-10-01,99.977,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-11-01,99.91377,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-12-01,99.83037,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-01-01,99.72278,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-02-01,99.69429,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-03-01,99.64407,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-04-01,99.57498,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-05-01,99.50416,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-06-01,99.3924,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-07-01,99.21506,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-08-01,99.07368,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-09-01,98.9545,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-10-01,98.86969,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-11-01,98.97664,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-12-01,99.38335,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-01-01,100.0416,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-02-01,100.4797,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-03-01,100.5412,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-04-01,100.3654,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-05-01,100.1867,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-06-01,100.0906,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-07-01,100.0537,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-08-01,100.0391,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-09-01,100.0334,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-10-01,100.0616,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-11-01,100.1925,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-12-01,100.5109,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-01-01,100.9863,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-02-01,101.294,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-03-01,101.318,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-04-01,101.122,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-05-01,100.926,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-06-01,100.743,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-07-01,100.5754,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-08-01,100.4582,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-09-01,100.3471,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-10-01,100.2362,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-11-01,100.2688,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-12-01,100.5687,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-01-01,101.0684,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-02-01,101.3487,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-03-01,101.2563,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-04-01,100.9029,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-05-01,100.6178,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-06-01,100.4634,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-07-01,100.3806,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-08-01,100.343,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-09-01,100.3005,
