LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-01-01,100.3395,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-02-01,100.1916,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-03-01,100.0598,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-04-01,99.94299,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-05-01,99.81647,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-06-01,99.63203,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-07-01,99.37499,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-08-01,99.0493,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-09-01,98.67823,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-10-01,98.30273,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-11-01,97.9421,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2018-12-01,97.63136,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-01-01,97.40742,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-02-01,97.28355,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-03-01,97.2293,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-04-01,97.21767,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-05-01,97.20029,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-06-01,97.14797,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-07-01,97.06123,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-08-01,96.9491,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-09-01,96.85836,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-10-01,96.84166,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-11-01,96.93853,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2019-12-01,97.17366,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-01-01,97.57538,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-02-01,98.15751,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-03-01,94.9718,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-04-01,87.55693,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-05-01,89.51174,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-06-01,94.59898,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-07-01,99.44744,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-08-01,99.58253,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-09-01,99.25047,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-10-01,98.88685,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-11-01,98.71222,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2020-12-01,98.78935,
GBR,CLI,AMPLITUD,LTRENDIDX,M,2021-01-01,98.76279,
